"X","id","task","beta_contrast","a_MAP","a_se","v_MAP","v_se"
1,1,"flanker","incongruent",NA,NA,-0.72873111852883,0.00594187680663104
2,1,"flanker","intercept",0.939085312792076,0.00245349072255818,8.47582273255902,0.0229064128146578
3,1,"flanker","prev_rt",NA,NA,-7.13099188887116,0.0440033188191235
4,1,"flanker","trial",NA,NA,0.179375546471157,0.00192752754108578
5,1,"go_nogo","intercept",3.33800739069892,0.0223704512315381,6.59912613006896,0.0162145061778933
6,1,"go_nogo","nogo",NA,NA,-10.3544034363267,0.0204518233745815
7,1,"go_nogo","trials_from_go",-0.00156017557430784,4.24878622045104e-05,NA,NA
8,1,"recent_probes","intercept",1.56688503573799,0.00172464102564165,1.36745770846388,0.00182982348713567
9,1,"recent_probes","negative_familiar",NA,NA,-0.0404429668911652,0.00560932878924365
10,1,"recent_probes","negative_highly_familiar",NA,NA,0.026522521427541,0.00550867627005389
11,1,"recent_probes","negative_response_conflict",NA,NA,-0.0800877925186114,0.00453577764661784
12,1,"recent_probes","negative_unfamiliar",NA,NA,0.698976633494414,0.0056427067405083
13,10,"flanker","incongruent",NA,NA,-0.680107884022,0.00669108355122504
14,10,"flanker","intercept",0.823157124696537,0.00296040883385765,9.3571316312242,0.0164893532174944
15,10,"flanker","prev_rt",NA,NA,-6.68646797039,0.0394128717355352
16,10,"flanker","trial",NA,NA,0.708765687762903,0.00272010632348368
17,10,"go_nogo","intercept",1.48206702180967,0.0177886740441416,6.0205724829072,0.0209483264330424
18,10,"go_nogo","nogo",NA,NA,-9.88040942900527,0.0161681841753887
19,10,"go_nogo","trials_from_go",-0.0014016406956084,3.16575920970798e-05,NA,NA
20,10,"recent_probes","intercept",1.22503209666257,0.00164743092600028,2.32520577850742,0.00269191835869074
21,10,"recent_probes","negative_familiar",NA,NA,-0.0352878875299226,0.00599362931223969
22,10,"recent_probes","negative_highly_familiar",NA,NA,0.0271680962523166,0.00669382268926094
23,10,"recent_probes","negative_response_conflict",NA,NA,-0.0738928969940614,0.00457769698298165
24,10,"recent_probes","negative_unfamiliar",NA,NA,0.699491806118618,0.00729327916779329
25,101,"flanker","incongruent",NA,NA,-2.03402740291959,0.00800367883523944
26,101,"flanker","intercept",0.903766729519548,0.00360703049449739,10.4538320078788,0.0203085871159861
27,101,"flanker","prev_rt",NA,NA,-6.24720104482848,0.0365741240571072
28,101,"flanker","trial",NA,NA,-0.148830701646475,0.00245485277645158
29,101,"go_nogo","intercept",2.52670903110023,0.0240959800194648,7.67836980113659,0.0200547638717627
30,101,"go_nogo","nogo",NA,NA,-9.83939465249334,0.0221976686033696
31,101,"go_nogo","trials_from_go",0.00104152257137498,3.7176865034824e-05,NA,NA
32,101,"recent_probes","intercept",1.04069970621285,0.00117014883175059,1.8688029867742,0.00241848050866192
33,101,"recent_probes","negative_familiar",NA,NA,-0.0377377845893503,0.00529677097568369
34,101,"recent_probes","negative_highly_familiar",NA,NA,0.0277837150039484,0.00451878182891362
35,101,"recent_probes","negative_response_conflict",NA,NA,-0.079275414595503,0.00488362722843062
36,101,"recent_probes","negative_unfamiliar",NA,NA,0.699049177048299,0.00702751772701025
37,102,"flanker","incongruent",NA,NA,-2.3134465198405,0.0075224733124501
38,102,"flanker","intercept",0.888890049230985,0.00140859542214513,8.97451796718267,0.0194998641601288
